Date,Open,High,Low,Close,Adj Close,Volume
2018-11-12,37600.000000,37750.000000,37150.000000,37550.000000,37550.000000,2803560
2018-11-13,37000.000000,37300.000000,36800.000000,36900.000000,36900.000000,5403540
