Date,Open,High,Low,Close,Adj Close,Volume
2018-11-12,null,null,null,null,null,null
2018-11-13,null,null,null,null,null,null
2018-11-14,null,null,null,null,null,null
2018-11-15,3.000000,3.200000,2.520000,2.790000,2.790000,345200
